FUENTE,AÑO,MES,DIA,ARTE_PESCA,TIPO,PUERTO,EMBARCACION,MATRICULA,CB,LONGITUD,LATITUD,ESPECIE_CAPTURA,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total general
SEGUIMIENTO,2008,3,26,CERCO,INDUSTRIAL,CALLAO                                                      ,ALESSANDRO,CO-22295-PM,450,-79.83333333,-9.416666667,43979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,8,20,14,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
SEGUIMIENTO,2011,8,28,CERCO,INDUSTRIAL,CALLAO                                                      ,ALESSANDRO,CO-22295-PM,450,-79.84,-12.686,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,7,16,12,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
SEGUIMIENTO,2011,9,16,CERCO,INDUSTRIAL,CALLAO                                                      ,ALESSANDRO,CO-22295-PM,450,-78.639,-13.403,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SEGUIMIENTO,1980,2,7,CERCO,INDUSTRIAL,ILO                                                         ,"ALETA AZUL I, LOBOS DE AFUERA 1                                                                                         ",IO-1096-PM,245,,,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BITACORAS,2008,12,9,BOLICHE ARTESANAL DE CONSUMO HUMANO,ARTESANAL,LA PLANCHADA,ALEX I                                                                                                                  ,IO 23281 BM,NA,NA,NA,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,5,19,12,14,22,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
SEGUIMIENTO,2013,1,4,CERCO,ARTESANAL,ATICO                                                       ,ALEXANDRO                                                                                                               ,PS-26267 -BM,,,,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,11,17,26,20,24,22,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
SEGUIMIENTO,2019,4,22,CORTINA,ARTESANAL,PUCUSANA,ALEXITO,MO-54608-BM,6,-77.06666667,-13.66666667,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,5,4,5,7,3,4,2,,2,1,,,,,,,,,,,,,,41
SEGUIMIENTO,2010,5,19,CERCO,ARTESANAL,ILO                                                         ,ALICIA II                                                                                                               ,IO-21325 -BM,26.93,,,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,8,12,10,16,23,10,6,2,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,110
BITACORAS,2009,9,3,BOLICHE ARTESANAL DE CONSUMO HUMANO,ARTESANAL,LA PLANCHADA,ALICIA II                                                                                                               ,IO 21325 BM,26.93,NA,NA,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,8,3,2,6,2,0,0,0,0,0,0,0,0,32
BITACORAS,2009,9,15,BOLICHE ARTESANAL DE CONSUMO HUMANO,ARTESANAL,LA PLANCHADA,ALICIA II                                                                                                               ,IO 21325 BM,26.93,NA,NA,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,6,2,12,5,3,4,3,13,6,2,2,0,2,0,0,0,0,0,73
